phone,DBA,BORO,STREET,ZIPCODE,CUISINE DESCRIPTION,Score Count,Score Recent,Score Max,Score Min,Score Average,Score StdDev,Grade A Count,Grade B Count,Grade C Count,Not Yet Graded,P Count,Z Count,,,,,
0,SUITE PANTRY SUITE 30,BRONX,EAST  161 STREET,10451,American,3,0,2,0,0.666666667,1.154700538,3,0,0,0,0,0,,,,,
1646644665,STATUS Q,BROOKLYN,3RD AVE,11209,Hotdogs,6,11,22,11,18.33333333,5.680375574,2,0,0,0,0,0,,,,,
1646670060,HONEY BADGER IN LEFFERTS GARDENS,BROOKLYN,FENIMORE ST,11225,American,1,5,5,5,5,#DIV/0!,0,0,0,1,0,0,,,,,
1729986806,TOUS LES JOURS,QUEENS,PRINCE ST,11354,Bakery,3,12,12,5,9.666666667,4.041451884,2,0,0,0,0,0,,,,,
2012054054,ATO,MANHATTAN,GRAND ST,10013,Other,4,32,32,32,32,0,0,0,0,4,0,0,,,,,
2012207599,MORRIS HEIGHTS PIZZA,BRONX,UNIVERSITY AVE,10453,American,10,28,28,3,18.6,9.143303561,2,0,0,0,0,0,,,,,
2012335992,CHARLEY'S GRILLED SUBS,QUEENS,QUEENS BLVD,11373,Sandwiches/Salads/Mixed Buffet,5,9,13,9,11.4,2.19089023,5,0,0,0,0,0,,,,,
2012565165,HOUSE OF THAI,QUEENS,40TH AVE,11101,Thai,9,8,24,2,16.44444444,9.193898943,3,0,0,0,0,0,,,,, 
2013042844,ALPHAVILLE,BROOKLYN,WILSON AVE,11237,American,31,26,51,7,29.77419355,14.54810338,6,5,0,0,0,0,,,,,
2014031014,CHARLEYS PHILLY STEAK,BRONX,BAYCHESTER AVE,10475,American,5,17,17,13,15.4,2.19089023,0,3,0,0,0,0,,,,,
2014248581,SUBWAY,STATEN ISLAND,GUYON AVE,10306,American,10,6,20,0,9.9,6.261877603,7,0,0,0,0,0,,,,,
2014868830,ON TRACK BAR (O.T.B.),BROOKLYN,BROADWAY,11211,American,13,7,25,7,15.30769231,8.107451463,8,0,0,0,0,0,,,,,
2015074805,PARIS BAGUETTE,MANHATTAN,7TH AVENUE,10018,Bakery,5,10,10,7,9,1.224744871,5,0,0,0,0,0,,,,,
2015198773,NUTRI GLOBAL,MANHATTAN,SAINT NICHOLAS AVE,10040,Caf̩/Coffee/Tea,7,7,7,2,5.857142857,1.772810521,7,0,0,0,0,0,,,,,
2015220482,MEXICAN FESTIVAL,MANHATTAN,BROADWAY,10025,Mexican,16,4,25,2,16.375,9.611624906,7,0,0,0,0,0,,,,,
2015431827,CAFFE BENE,MANHATTAN,W 32ND ST,10001,Caf̩/Coffee/Tea,24,9,36,4,18.75,11.89537725,6,3,0,0,0,0,,,,,
2015434697,EL VALLE SEAFOOD RESTAURANT,MANHATTAN,SHERMAN AVE,10034,Spanish,18,9,42,9,30.22222222,11.12789582,2,4,0,0,0,0,,,,,
2015668111,LADY M CONFECTIONS,MANHATTAN,BROADWAY,10001,Caf̩/Coffee/Tea,3,7,7,0,4.666666667,4.041451884,2,0,0,0,0,0,,,,,
2016545901,SUBWAY,MANHATTAN,GREENWICH STREET,10006,Sandwiches,12,12,14,2,10.5,3.605551275,9,0,0,0,0,0,,,,,
2016758771,MARONI HOT POTS,MANHATTAN,E 77TH ST,10075,Italian,1,8,8,8,8,#DIV/0!,1,0,0,0,0,0,,,,,
2017231055,CREPERIE,MANHATTAN,MACDOUGAL STREET,10012,American,6,6,7,5,6.166666667,0.752772653,6,0,0,0,0,0,,,,,
2017466400,TACO BELL,BRONX,CONNER ST,10475,Mexican,4,7,7,4,5.5,1.732050808,2,0,0,0,0,0,,,,,
