phone,area,category,postal_code,price_range,rating_value,restaurant,review_count,DBA,BORO,STREET,ZIPCODE,CUISINE DESCRIPTION,Score Count,Score Recent,Score Max,Score Min,Score Average,Score StdDev,Grade A Count,Grade B Count,Grade C Count,Not Yet Graded,P Count,Z Count,Inspection,Times_Graded,,,,,
9295220889,Elmhurst,"Barbeque,
                    Hot Pot,
                    Buffets",11373,$11-30,4,iCook Buffet,106,ICOOK,QUEENS,BROADWAY,11373,Chinese,9,11,27,0,16.88888889,10.20348524,4,0,0,0,0,0,3,2,,,,,
9293377599,Brooklyn,Shanghainese,11201,$11-30,4,Yaso Tangbao,387,YASO TANGBAO,BROOKLYN,LAWRENCE ST,11201,Chinese,12,9,30,2,18.16666667,9.842702265,4,0,0,0,0,0,5,3,,,,,
9293376412,Brooklyn,"Wine Bars,
                    Tapas/Small Plates,
                    Specialty Food",11211,$11-30,5,Denizen,37,DENIZEN,BROOKLYN,ROEBLING ST,11211,American,1,5,5,5,5,0,1,0,0,0,0,0,1,1,,,,,
9293282890,Astoria,"Japanese,
                    Seafood,
                    Sushi Bars",11103,$31-60,4.5,Gaijin,104,GAIJIN,QUEENS,31ST AVE,11103,Japanese,3,5,10,5,8.333333333,2.886751346,1,0,0,0,0,0,2,2,,,,,
9292963942,Sunnyside,"Cafes,
                    Italian,
                    Breakfast & Brunch",11104,$11-30,4.5,SoleLuna Restaurant,215,SOLELUNA,QUEENS,QUEENS BLVD,11104,Italian,9,12,20,5,13.88888889,5.109903239,3,0,0,0,0,0,4,3,,,,,
9292959542,Brooklyn,"Pizza,
                    Italian",11205,$11-30,4.5,Da Ciro Brooklyn,30,DA CIRO BROOKLYN TRATTORIA & PIZZERIA,BROOKLYN,MYRTLE AVE,11205,Other,6,11,11,4,8.666666667,3.614784456,4,0,0,0,0,0,2,2,,,,,
9292958401,Brooklyn,"Desserts,
                    Diners,
                    Salad",11249,$11-30,4,Cheeseboat,137,CHEESEBOAT,BROOKLYN,BERRY ST,11249,Eastern European,7,18,18,3,15.85714286,5.669467095,0,0,0,6,0,0,2,1,,,,,
9292922010,Brooklyn,"Seafood,
                    Wine Bars",11219,$11-30,4.5,Parc Oasis Oyster Bar,80,PARC OASIS,BROOKLYN,11TH AVE,11219,Seafood,6,16,16,7,13,4.647580015,0,0,0,4,0,0,2,1,,,,, 
9292793488,Brooklyn,Japanese,11217,$11-30,4.5,Rice & Miso,18,TAIKI AND RICE & MISO,BROOKLYN,NEVINS ST,11217,Japanese,3,45,45,45,45,0,0,0,0,3,0,0,1,1,,,,,
9292763528,Brooklyn,"Caribbean,
                    Cocktail Bars",11211,$11-30,4,Pearl’s,174,PEARLS BAKE & SHARK,BROOKLYN,N 8TH ST,11211,Caribbean,7,12,12,9,10.71428571,1.603567451,5,0,0,0,0,0,3,3,,,,,
9292763528,Brooklyn,"Caribbean,
                    Cocktail Bars",11211,$11-30,4,Pearl’s,174,PEARLS BAKE & SHARK,BROOKLYN,N 8TH ST,11211,Caribbean,7,12,12,9,10.71428571,1.603567451,5,0,0,0,0,0,3,3,,,,,
9292343500,Brooklyn,"Bars,
                    Cafes,
                    Cajun/Creole",11237,$11-30,4,Heavy Woods,179,HEAVY WOODS,BROOKLYN,WYCKOFF AVENUE,11237,American,25,0,59,0,27.56,22.14926635,9,0,0,0,2,0,8,6,,,,,
9292342941,Brooklyn,"French,
                    Cocktail Bars,
                    Seafood",11237,$11-30,4,Mominette,371,MOMINETTE,BROOKLYN,KNICKERBOCKER AVENUE,11237,French,39,10,33,10,19.20512821,7.60602077,6,7,6,0,0,0,12,6,,,,,
9292108472,Brooklyn,"Cocktail Bars,
                    American (Traditional),
                    Beer Bar",11225,$11-30,4,The Westbury Inn,45,THE WESTBURY INN,BROOKLYN,FLATBUSH AVE,11225,American,29,12,39,5,27.79310345,13.45993873,9,0,0,0,0,0,7,5,,,,,
9292108100,Brooklyn,"Sandwiches,
                    Asian Fusion,
                    Vietnamese",11221,$11-30,4,Little Mo,189,LITTLE MO,BROOKLYN,MYRTLE AVE,11221,Vietnamese/Cambodian/Malaysia,26,11,21,2,15.11538462,5.566520803,6,2,0,0,0,0,9,5,,,,,
9292100589,Brooklyn,"Ramen,
                    Noodles,
                    Soup",11233,$11-30,4,Nana Ramen,39,NANA RAMEN,BROOKLYN,MALCOLM X BLVD,11233,Asian,5,7,14,7,12.6,3.130495168,1,0,0,0,0,0,2,2,,,,,
9292080282,Woodside,"Thai,
                    Salad,
                    Soup",11377,$11-30,4.5,Thai Diva Cuisine,63,Thai Diva,QUEENS,46TH ST,11377,Thai,2,13,13,13,13,0,2,0,0,0,0,0,1,1,,,,,
9292080054,Sunnyside,"American (New),
                    Cocktail Bars,
                    Sports Bars",11104,$11-30,4.5,The Lowery Bar & Kitchen,100,THE LOWERY BAR & KITCHEN,QUEENS,43RD AVE,11104,American,6,6,29,6,25.16666667,9.389710681,1,0,0,0,0,0,2,2,,,,,
9179661666,Brooklyn,"Bars,
                    Breakfast & Brunch,
                    American (New)",11237,$11-30,4,Montana’s Trail house,270,MONTANA'S TRAIL HOUSE,BROOKLYN,TROUTMAN ST,11237,American,15,11,17,9,12.26666667,3.011090611,7,0,0,0,0,0,6,5,,,,,
9179479965,Brooklyn,"Bars,
                    American (New)",11211,$11-30,4.5,Little King,39,LITTLE KING,BROOKLYN,METROPOLITAN AVE,11211,American,3,5,5,2,4,1.732050808,2,0,0,0,0,0,2,2,,,,,
9179478787,Brooklyn,Sandwiches,11205,$11-30,4,Endless Summer,108,ENDLESS SUMMER,BROOKLYN,DEKALB AVE,11205,Sandwiches,20,12,23,0,15.3,5.667079448,7,3,0,0,0,0,8,5,,,,,
9179091858,Brooklyn,Italian,11201,$11-30,4.5,Broccolino,14,OSSOBUCO,BROOKLYN,SMITH ST,11201,Italian,4,7,11,7,9,2.309401077,2,0,0,0,0,0,2,2,,,,,
9179091542,Brooklyn,"Bars,
                    Asian Fusion,
                    American (New)",11211,$11-30,4.5,Pokito,67,POKITO,BROOKLYN,S 4TH ST,11211,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8,12,19,8,14.5,5.042675027,4,0,0,0,0,0,3,3,,,,,
9179091471,Brooklyn,"Cajun/Creole,
                    Southern,
                    Sandwiches",11201,$11-30,4.5,The Gumbo Bros,87,THE GUMBO BROS,BROOKLYN,ATLANTIC AVE,11201,Cajun,7,9,22,9,16.42857143,6.94879229,3,0,0,0,0,0,2,2,,,,,
9179091314,Ridgewood,"Wine Bars,
                    American (New)",11385,$11-30,4.5,Julia’s,107,JULIA'S BEER AND WINE BAR,QUEENS,WOODWARD AVE,11385,American,16,7,23,7,16.0625,5.105144464,6,0,0,0,0,0,6,4,,,,,
9179091314,Ridgewood,"Wine Bars,
                    American (New)",11385,$11-30,4.5,Julia’s,107,JULIA'S BEER AND WINE BAR,QUEENS,WOODWARD AVE,11385,American,16,7,23,7,16.0625,5.105144464,6,0,0,0,0,0,6,4,,,,,
9179091032,Brooklyn,"Thai,
                    Asian Fusion,
                    Seafood",11205,$11-30,3.5,SAMUI,54,SAMUI,BROOKLYN,VANDERBILT AVE,11205,Thai,8,12,22,7,14.5,6.546536707,3,0,0,0,0,0,3,2,,,,,
9179090970,Brooklyn,"French,
                    Korean",11217,$11-30,4,Brasserie Séoul,139,BRASSERIE SEOUL,BROOKLYN,SCHERMERHORN ST,11217,French,4,9,9,2,7.25,3.5,3,0,0,0,0,0,2,2,,,,,
9178688903,Long Island City,Ramen,11101,$11-30,4,Mu Ramen,756,MU RAMEN,QUEENS,JACKSON AVE,11101,Japanese,14,9,22,8,14.85714286,5.907715201,6,0,0,0,0,0,5,4,,,,,
9177089006,Bronx,"Pizza,
                    Italian,
                    Pasta Shops",10465,Under $10,4.5,MUTZ Fast Fresh Italian,20,MUTZ,BRONX,HTCHNSON RIV PKWY,10465,Italian,1,5,5,5,5,0,0,0,0,1,0,0,1,1,,,,,
9176393089,New York,"American (Traditional),
                    Gastropubs,
                    Burgers",10013,$11-30,4,Black Tap Craft Burgers & Beer,605,BLACK TAP,MANHATTAN,BROOME ST,10013,American,19,13,31,11,20.63157895,8.9207033,9,0,0,0,0,0,7,5,,,,,
9174727808,New York,"Wine Bars,
                    Tapas/Small Plates",10036,$11-30,4.5,Dianne & Elisabeth,94,DIANNE & ELISABETH,MANHATTAN,10TH AVE,10036,American,1,5,5,5,5,0,1,0,0,0,0,0,1,1,,,,,
9174353745,Brooklyn,American (New),11205,$31-60,4.5,Lulu & Po,146,LULU & PO,BROOKLYN,CARLTON AVENUE,11205,American,8,7,15,7,10,3.207134903,6,0,0,0,0,0,4,4,,,,,
9173883944,New York,"American (New),
                    Bakeries,
                    Breakfast & Brunch",10014,$11-30,4,High Street On Hudson,188,HIGH STREET ON HUDSON,MANHATTAN,HUDSON ST,10014,American,13,31,31,12,21.61538462,8.411682962,3,0,0,0,0,0,4,2,,,,,
9173883546,New York,"Steakhouses,
                    Japanese",10003,$11-30,4,Ikinari Steak East Village,199,IKINARI STEAK,MANHATTAN,E 10TH ST,10003,Japanese,2,11,11,11,11,0,0,0,0,2,0,0,1,1,,,,,
9172620827,New York,"Mediterranean,
                    Tapas/Small Plates",10036,$11-30,4,Mémé Mediterranean,109,MEME,MANHATTAN,10TH AVE,10036,Mediterranean,4,11,11,2,8.75,4.5,3,0,0,0,0,0,2,2,,,,,
9172612733,New York,Thai,10013,$11-30,4,Thailicious,79,THAILICIOUS,MANHATTAN,BAXTER ST,10013,Thai,2,2,2,2,2,0,1,0,0,0,0,0,2,2,,,,,
7189815111,Staten Island,"Italian,
                    Bars",10304,$11-30,5,Errigo’s,32,PAULIE'S PIZZERIA,STATEN ISLAND,BAY ST,10304,Pizza/Italian,13,13,22,12,17.76923077,4.342692064,5,0,0,0,0,0,4,3,,,,,
7189757555,Brooklyn,"Southern,
                    Whiskey Bars",11238,$11-30,4.5,Tin Kettle,53,TIN KETTLE,BROOKLYN,VANDERBILT AVE,11238,American,2,10,10,10,10,0,2,0,0,0,0,0,1,1,,,,,
7189756840,Brooklyn,"Bars,
                    Cafes",11207,$11-30,4.5,Father Knows Best,69,FATHER KNOWS BEST,BROOKLYN,WILSON AVE,11207,American,8,11,12,9,10.5,1.309307341,6,0,0,0,0,0,3,3,,,,,
7189633404,Brooklyn,"Barbeque,
                    Cocktail Bars",11211,$11-30,4,Fette Sau,1994,FETTE SAU,BROOKLYN,METROPOLITAN AVENUE,11211,Barbecue,13,8,16,5,10.23076923,4.146360777,9,0,0,0,0,0,6,5,,,,,
7189633100,Brooklyn,"Italian,
                    Breakfast & Brunch",11211,$11-30,4,Il Passatore,330,IL PASSATORE,BROOKLYN,BUSHWICK AVENUE,11211,Italian,22,9,20,9,14.5,4.808227076,11,0,0,0,0,0,8,6,,,,,
7189632574,Brooklyn,"Bars,
                    American (Traditional)",11211,$11-30,4.5,Post Office,244,POST OFFICE,BROOKLYN,HAVEMEYER STREET,11211,American,15,12,23,12,17.93333333,5.077494695,7,0,0,0,0,0,5,4,,,,,
7189630608,Brooklyn,"American (New),
                    Bars",11249,$11-30,4,Sweetwater Restaurant,261,SWEETWATER RESTAURANT,BROOKLYN,NORTH    6 STREET,11249,American,23,11,36,2,22.26086957,11.07091764,8,0,0,0,0,0,8,6,,,,,
7189560007,Astoria,"Vietnamese,
                    Cocktail Bars",11103,$11-30,4,District Saigon,251,DISTRICT MOT,QUEENS,BROADWAY,11103,Asian,11,8,22,7,15.18181818,7.277611996,3,0,0,0,0,0,5,3,,,,,
7189424255,Brooklyn,American (New),11238,$31-60,4,James,348,JAMES RESTAURANT,BROOKLYN,CARLTON AVENUE,11238,American,14,12,29,9,17.35714286,9.069027111,9,0,0,0,0,0,5,5,,,,,
7189424162,Brooklyn,"Southern,
                    Seafood,
                    Breakfast & Brunch",11233,$11-30,3.5,Peaches,722,PEACHES,BROOKLYN,LEWIS AVENUE,11233,Soul Food,35,7,40,7,23.4,11.17823515,10,0,0,0,0,0,10,6,,,,,
7189412725,Brooklyn,"Cafes,
                    Himalayan/Nepalese",11226,$11-30,4,Cafe Tibet,245,TOP CAFE TIBET,BROOKLYN,CORTELYOU ROAD,11226,Asian,16,11,24,4,12.9375,6.9038033,7,3,0,0,0,0,9,6,,,,,
7189377373,Sunnyside,Italian,11104,$11-30,4.5,Zio Luigi,81,ZIO LUIGI,QUEENS,QUEENS BLVD,11104,Italian,6,10,84,5,46.16666667,41.48453527,2,0,0,0,0,0,3,2,,,,,
7189092881,New York,"American (New),
                    Desserts",11231,$11-30,4,Grindhaus,63,GRINDHAUS,BROOKLYN,VAN BRUNT STREET,11231,American,20,13,20,6,14,4.316431274,9,0,0,0,0,0,6,4,,,,,
7188999599,Woodside,"Thai,
                    Coffee & Tea,
                    Noodles",11377,$11-30,4,SriPraPhai Thai Restaurant,1936,SRIPRAPHAI THAI RESTAURANT,QUEENS,39 AVENUE,11377,Thai,9,2,19,2,10.44444444,6.948221195,6,0,0,0,0,0,5,5,,,,,
7188998629,Woodside,"Himalayan/Nepalese,
                    American (New)",11377,Under $10,4.5,Dawa’s,103,DAWA'S,QUEENS,SKILLMAN AVE,11377,CafÃ©/Coffee/Tea,5,13,13,9,11.4,2.19089023,5,0,0,0,0,0,2,2,,,,,
