PHONE,DBA,BORO,STREET,ZIPCODE,CUISINE DESCRIPTION,Score_Now,Average_Score,Inspection,Times_Graded,Administration,Facility_Design,Facility_Maintenance,Food_Protection,Food_Source,Food_Temperature,Miscellaneous,Nutrition,Other,Personal_Hygiene,Signage,Tabacco,Vermin_Garbage,Critical,,
(718)7377181,PIG BEACH,BROOKLYN,UNION STREET,11211,Other,56,56,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,,
1646644665,STATUS Q,BROOKLYN,3RD AVE,11209,Hotdogs,11,18.33333333,2,2,0,0,1,2,0,0,0,0,0,3,0,0,0,5,,
1646670060,HONEY BADGER IN LEFFERTS GARDENS,BROOKLYN,FENIMORE ST,11225,American,5,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,
1729986806,TOUS LES JOURS,QUEENS,PRINCE ST,11354,Bakery,12,9.666666667,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,3,,
2012054054,ATO,MANHATTAN,GRAND ST,10013,Other,32,32,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,4,,
2012207599,MORRIS HEIGHTS PIZZA,BRONX,UNIVERSITY AVE,10453,American,28,18.6,4,2,0,0,1,5,0,1,0,0,0,0,0,0,3,6,,
2012335992,CHARLEY'S GRILLED SUBS,QUEENS,QUEENS BLVD,11373,Sandwiches/Salads/Mixed Buffet,9,11.4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,1,2,,
2012565165,HOUSE OF THAI,QUEENS,40TH AVE,11101,Thai,8,16.44444444,4,3,0,0,3,2,0,1,0,0,0,3,0,0,0,6,,
2013042844,ALPHAVILLE,BROOKLYN,WILSON AVE,11237,American,26,29.77419355,7,4,0,1,9,6,1,1,0,0,0,10,0,0,3,18,, 
2014031014,CHARLEYS PHILLY STEAK,BRONX,BAYCHESTER AVE,10475,American,17,15.4,2,2,0,0,0,2,0,0,0,0,0,3,0,0,0,5,,
2014248581,SUBWAY,STATEN ISLAND,GUYON AVE,10306,American,6,9.9,5,4,0,0,6,1,0,1,1,0,0,1,0,0,0,3,,
2014868830,ON TRACK BAR (O.T.B.),BROOKLYN,BROADWAY,11211,American,7,15.30769231,5,5,0,0,4,3,1,1,0,0,0,4,0,1,0,8,,
2015074805,PARIS BAGUETTE,MANHATTAN,7TH AVENUE,10018,Bakery,10,9,3,3,0,0,0,1,0,0,0,0,0,3,0,0,1,4,,
2015198773,NUTRI GLOBAL,MANHATTAN,SAINT NICHOLAS AVE,10040,Caf̩/Coffee/Tea,7,5.857142857,3,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,,
2015220482,MEXICAN FESTIVAL,MANHATTAN,BROADWAY,10025,Mexican,4,16.375,6,5,0,1,7,3,0,2,1,1,0,1,0,0,2,7,,
2015431827,CAFFE BENE,MANHATTAN,W 32ND ST,10001,Caf̩/Coffee/Tea,9,18.75,8,5,0,0,11,4,1,2,1,1,0,4,0,0,2,10,,
2015434697,EL VALLE SEAFOOD RESTAURANT,MANHATTAN,SHERMAN AVE,10034,Spanish,9,30.22222222,4,3,0,0,2,4,0,5,0,0,0,4,0,0,3,13,,
2015668111,LADY M CONFECTIONS,MANHATTAN,BROADWAY,10001,Caf̩/Coffee/Tea,7,4.666666667,2,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,,
2016545901,SUBWAY,MANHATTAN,GREENWICH STREET,10006,Sandwiches,12,10.5,5,5,0,0,5,0,2,2,0,0,0,2,0,0,1,4,,
2016758771,MARONI HOT POTS,MANHATTAN,E 77TH ST,10075,Italian,8,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,
2017231055,CREPERIE,MANHATTAN,MACDOUGAL STREET,10012,American,6,6.166666667,3,3,0,0,3,0,0,0,0,0,0,2,0,0,1,2,,
2017466400,TACO BELL,BRONX,CONNER ST,10475,Mexican,7,5.5,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,
2017599585,750 MYRTLE DINER,BROOKLYN,MYRTLE AVE,11205,American,11,13.8,4,3,0,0,4,1,0,0,0,0,0,5,0,0,0,6,,
2017766461,THE LITTLE WHISKEY,BROOKLYN,WILSON AVE,11237,American,17,14,2,2,0,0,3,0,0,0,1,0,0,2,0,0,0,2,,
2018159686,DUNKIN DONUTS,MANHATTAN,BROADWAY,10007,Donuts,13,11,6,6,0,0,5,3,0,0,0,1,0,8,1,0,1,11,,
